date,include_in_summary,top_level_name,parent_protocol,is_external_dex_bridge_pool,program_name,app_name,num_op,num_op_override,period,op_source,start_date,end_date,cumul_net_dollar_flow_at_program_end,cumul_net_dollar_flow,cumul_last_price_net_dollar_flow_at_program_end,cumul_last_price_net_dollar_flow,flows_retention,last_price_net_dollar_flows_retention
2022-12-21,1,Uniswap LM - Phase 1*,Uniswap,0.0,Arrakis Finance - Uniswap LM - Phase 1*,Arrakis Finance,16667.0,16667.0,Post-Program,Governance - Phase 0,2022-10-26,2022-11-21,-577946.1830700003,-309571.4866000004,-577946.1830700003,-309571.4866000004,-0.5356406801678028,-0.5356406801678028
2022-12-21,1,Uniswap LM - Phase 1,Uniswap,0.0,Gamma - Uniswap LM - Phase 1,Gamma,16667.0,16667.0,Post-Program,Governance - Phase 0,2022-10-26,2022-11-21,899994.9171556393,364884.7054301069,946519.6898054909,388221.0387383863,0.4054297401848616,0.4101563262969896
2022-12-21,0,Uniswap LM - Phase 1,Uniswap LM - Phase 1,0.0,Uniswap LM - Phase 1,Uniswap LM - Phase 1,50001.0,50001.0,Post-Program,Governance - Phase 0,2022-10-26,2022-11-21,2324122.662303608,1065579.1555388828,2506122.0975769013,1166125.9435703312,0.45848662500571696,0.46531090592027635
2022-12-21,0,Uniswap LM - Phase 1,Uniswap,0.0,Uniswap V3 - Uniswap LM - Phase 1,Uniswap V3,50000.0,50000.0,Post-Program,Governance - Phase 0,2022-10-26,2022-11-21,-6845015.321362954,-3046476.6965362867,483442.9557423154,1330849.5472971532,-0.4450649930655939,2.7528574602016174
2022-12-21,1,Uniswap LM - Phase 1,Uniswap,0.0,Xtoken - Uniswap LM - Phase 1,Xtoken,16667.0,16667.0,Post-Program,Governance - Phase 0,2022-10-26,2022-11-21,2002073.928217969,1010265.9367087764,2137548.5908414116,1087476.3914319458,0.5046097062000136,0.5087493197073374
2023-07-30,1,SNX Bridge: Hop,Synthetix,1.0,Synthetix - SNX Bridge: Hop,Synthetix,,,During Program,Governance - Phase 0,2022-10-25,,421896.51895515155,421896.51895515155,398545.90112559224,398545.90112559224,,
2023-07-30,0,All Synthetix Hop Pools,Synthetix,1.0,Synthetix - All Synthetix Hop Pools,Synthetix,,,During Program,Governance - Phase 0,2022-10-25,,1340882.5210551515,1340882.5210551515,1317531.9032255923,1317531.9032255923,,
2023-07-30,1,Beefy finance,Beefy finance,0.0,Beefy,Beefy Finance,325000.0,,During Program,Governance - Season 1,2022-10-24,,48712472.453138,48712472.453138,48708209.87673666,48708209.87673666,,
2023-07-30,1,Beethoven x,Beethoven x,0.0,Beethoven X,Beethoven X,500000.0,,During Program,Governance - Season 1,2022-09-29,,17601704.651055157,17601704.651055157,17603179.131473474,17603179.131473474,,
2023-07-30,1,Hop protocol,Hop protocol,0.0,Hop Protocol,Hop Protocol,1000000.0,,During Program,Governance - Phase 0,2022-09-22,,4085936.3312576385,4085936.3312576385,4055603.0198353846,4055603.0198353846,,
2023-04-20,1,Xtoken,Xtoken,0.0,Xtoken,Xtoken,900000.0,,Post-Program,Governance - Season 1,2022-09-19,2023-03-21,62757.73773211846,-1261772.379255908,620580.4774185518,-961330.4449787006,20.10544715046591,1.5490826411065608
2023-07-30,1,Polynomial protocol*,Polynomial protocol,0.0,Polynomial Protocol*,Polynomial Protocol,900000.0,,During Program,Governance - Phase 0,2022-09-14,,3129608.9743500003,3129608.9743500003,3129608.9743500003,3129608.9743500003,,
2022-10-14,1,Aelin,Aelin,0.0,Aelin,Aelin,900000.0,,Post-Program,Governance - Phase 0,2022-09-12,2022-09-14,-2827.6516921704642,-2778.652091999165,-2826.6927108232862,-2777.706732996996,-0.9826712744334901,-0.9826702146863275
2023-07-30,1,Pickle Finance,Pickle finance,0.0,Pickle - Pickle Finance,Pickle Finance,200000.0,,During Program,Governance - Season 1,2022-09-09,,720274.105126051,720274.105126051,720504.2762821227,720504.2762821227,,
2023-07-30,1,Pika protocol*,Pika protocol,0.0,Pika Protocol*,Pika Protocol,900000.0,,During Program,Governance - Phase 0,2022-08-29,,4731080.690599999,4731080.690599999,4731080.690599999,4731080.690599999,,
2023-07-30,1,sUSD-3Crv: Curve,Synthetix,1.0,Synthetix - sUSD-3Crv: Curve,Synthetix,,,During Program,Governance - Phase 0,2022-08-25,,10371834.558640594,10371834.558640594,11313914.09111569,11313914.09111569,,
2023-07-30,0,All Synthetix Curve Pools,Synthetix,1.0,Synthetix - All Synthetix Curve Pools,Synthetix,,,During Program,Governance - Phase 0,2022-08-25,,5717206.749499847,5717206.749499847,6233188.389673017,6233188.389673017,,
2023-07-30,1,sETH-ETH: Curve,Synthetix,1.0,Synthetix - sETH-ETH: Curve,Synthetix,,,During Program,Governance - Phase 0,2022-08-25,,-4654627.809140748,-4654627.809140748,-5080725.701442676,-5080725.701442676,,
2023-07-30,1,Celer,Celer,0.0,Cbridge - Celer,Celer,300000.0,,During Program,Governance - Phase 0,2022-08-13,,3446810.0595858092,3446810.0595858092,3315945.8243191894,3315945.8243191894,,
2023-07-30,1,Stargate finance,Stargate finance,0.0,Stargate,Stargate Finance,1000000.0,,During Program,Governance - Phase 0,2022-08-05,,9389924.638420759,9389924.638420759,9446345.857011707,9446345.857011707,,
2022-12-04,1,Aave - Liquidity Mining,Aave,0.0,Aave V3 - Aave - Liquidity Mining,Aave,5000000.0,,Post-Program,Partner Fund,2022-08-04,2022-11-04,345005629.5737117,78494834.74334937,341969369.3791454,77329625.72923894,0.22751754758418707,0.22613026970700026
2023-03-08,1,Wepiggy,Wepiggy,0.0,Wepiggy,Wepiggy,300000.0,,Post-Program,Governance - Phase 0,2022-08-03,2023-02-06,826338.0352703831,163586.7010219639,833137.0315352468,166784.04903293846,0.19796583727195527,0.20018801556041801
2023-07-30,1,Lyra,Lyra,0.0,Lyra,Lyra,3000000.0,,During Program,Governance - Phase 0,2022-08-02,,1714996.531520307,1714996.531520307,1842125.8153400852,1842125.8153400852,,
2022-12-15,1,PoolTogether #1,Pooltogether,0.0,Pooltogether - PoolTogether #1,Pooltogether,450000.0,450000.0,Post-Program,Partner Fund,2022-07-22,2022-11-15,58768181.20609017,27544719.673414234,58763945.08730577,27546031.39356846,0.4687012445870924,0.4687573537250305
2023-03-12,1,Rubicon,Rubicon,0.0,Rubicon,Rubicon,900000.0,,Post-Program,Governance - Phase 0,2022-07-15,2023-02-10,9296231.853667293,-1024459.576806924,9090736.57116614,-1094191.8214278398,0.1102015948970531,0.12036338451367966
2023-07-30,1,Thales,Thales,0.0,Thales,Thales,900000.0,,During Program,Governance - Phase 0,2022-07-15,,1161171.7906531012,1161171.7906531012,1159800.7380972165,1159800.7380972165,,
2023-07-30,1,Perpetual protocol,Perpetual protocol,0.0,Perpetual Protocol,Perpetual Protocol,9000000.0,,During Program,Governance - Phase 0,2022-07-14,,-9737319.526163496,-9737319.526163496,-9754246.902845463,-9754246.902845463,,
2022-12-17,1,Velodrome #1 *,Velodrome,0.0,Velodrome - Velodrome #1 *,Velodrome,3000000.0,3000000.0,Post-Program,Partner Fund,2022-07-13,2022-11-17,87467362.96605,47481045.039249994,87467362.96605,47481045.039249994,0.5428429922790688,0.5428429922790688
