week,chain,chainId,layer,is_op_chain,mainnet_chain_id,op_based_version,alignment,chain_name,display_name,provider,is_upcoming,is_archived,is_current_chain,totalUsd_min,totalUsd_last,totalUsd_mean,transactions_sum,transactions_mean,canonicalUsd_min,canonicalUsd_last,canonicalUsd_mean,externalUsd_min,externalUsd_last,externalUsd_mean,nativeUsd_min,nativeUsd_last,nativeUsd_mean,weeks_live
2019-12-16,gluon,,L2,False,,,Other EVMs,,,,False,True,False,1842.92,1942.02,1920.9142857142856,0.0,,1842.92,1942.02,1920.9142857142856,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2019-12-16,layer2,,,False,,,Other EVMs,,,,False,False,False,1866.48,1965.19,1944.304285714286,0.0,,1866.48,1965.19,1944.304285714286,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2019-12-16,loopring,,L2,False,,,Other EVMs,,,Loopring,False,False,True,22.95,23.17,23.389999999999997,0.0,,22.95,23.17,23.389999999999997,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2019-12-16,mantle,5000,L2,False,5000.0,legacy ovm,OP Stack fork,mantle network,Mantle,OP Stack,False,False,True,,,,0.0,0.0,,,,,,,,,,5.0
2019-12-16,metis,1088,L2,False,1088.0,legacy ovm,OP Stack fork,metis andromeda,Metis,OVM,False,False,True,,,,0.0,0.0,,,,,,,,,,5.0
2019-12-16,polygonzkevm,1101,L2,False,,,Other EVMs,,,Polygon CDK,False,False,True,,,,0.0,0.0,,,,,,,,,,5.0
2019-12-16,xdai,,,False,,,Other EVMs,,,,False,False,False,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2019-12-23,astarzkevm,,L2,False,,,Other EVMs,,,Polygon CDK,False,False,True,,,,0.0,0.0,,,,,,,,,,6.0
2019-12-23,bridge,,,False,,,Other EVMs,,,,False,False,False,0.0,3.83,2.19,0.0,,0.0,3.83,2.19,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2019-12-23,gluon,,L2,False,,,Other EVMs,,,,False,True,False,1232.72,2507.85,2108.4685714285715,0.0,,1232.72,2507.85,2108.4685714285715,0.0,0.0,0.0,0.0,0.0,0.0,6.0
2019-12-23,layer2,,,False,,,Other EVMs,,,,False,False,False,1253.86,11505.04,4374.798571428571,0.0,,1253.86,11505.04,4374.798571428571,0.0,0.0,0.0,0.0,0.0,0.0,6.0
2019-12-23,loopring,,L2,False,,,Other EVMs,,,Loopring,False,False,True,20.3,8997.19,2266.3300000000004,0.0,,20.3,8997.19,2266.3300000000004,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2019-12-23,mantle,5000,L2,False,5000.0,legacy ovm,OP Stack fork,mantle network,Mantle,OP Stack,False,False,True,,,,0.0,0.0,,,,,,,,,,6.0
2019-12-23,metis,1088,L2,False,1088.0,legacy ovm,OP Stack fork,metis andromeda,Metis,OVM,False,False,True,,,,0.0,0.0,,,,,,,,,,6.0
2019-12-23,polygonzkevm,1101,L2,False,,,Other EVMs,,,Polygon CDK,False,False,True,,,,0.0,0.0,,,,,,,,,,6.0
2019-12-23,xdai,,,False,,,Other EVMs,,,,False,False,False,0.0,3.83,2.19,0.0,,0.0,3.83,2.19,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2019-12-30,astarzkevm,,L2,False,,,Other EVMs,,,Polygon CDK,False,False,True,,,,0.0,0.0,,,,,,,,,,7.0
2019-12-30,bridge,,,False,,,Other EVMs,,,,False,False,False,3.8,36633.35,25812.17285714286,0.0,,3.8,36633.35,25812.17285714286,0.0,0.0,0.0,0.0,0.0,0.0,6.0
2019-12-30,gluon,,L2,False,,,Other EVMs,,,,False,True,False,2547.1,2694.99,2591.12,0.0,,2547.1,2694.99,2591.12,0.0,0.0,0.0,0.0,0.0,0.0,7.0
2019-12-30,layer2,,,False,,,Other EVMs,,,,False,False,False,12032.42,24070.96,18392.264285714286,0.0,,12032.42,24070.96,18392.264285714286,0.0,0.0,0.0,0.0,0.0,0.0,7.0
2019-12-30,loopring,,L2,False,,,Other EVMs,,,Loopring,False,False,True,9438.65,21375.97,15801.144285714285,0.0,,9438.65,21375.97,15801.144285714285,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2019-12-30,mantle,5000,L2,False,5000.0,legacy ovm,OP Stack fork,mantle network,Mantle,OP Stack,False,False,True,,,,0.0,0.0,,,,,,,,,,7.0
2019-12-30,metis,1088,L2,False,1088.0,legacy ovm,OP Stack fork,metis andromeda,Metis,OVM,False,False,True,,,,0.0,0.0,,,,,,,,,,7.0
2019-12-30,polygonzkevm,1101,L2,False,,,Other EVMs,,,Polygon CDK,False,False,True,,,,0.0,0.0,,,,,,,,,,7.0
2019-12-30,xdai,,,False,,,Other EVMs,,,,False,False,False,3.8,36633.35,25812.17285714286,0.0,,3.8,36633.35,25812.17285714286,0.0,0.0,0.0,0.0,0.0,0.0,6.0
2020-01-06,astarzkevm,,L2,False,,,Other EVMs,,,Polygon CDK,False,False,True,,,,0.0,0.0,,,,,,,,,,8.0
2020-01-06,bridge,,,False,,,Other EVMs,,,,False,False,False,36056.37,36485.11,36416.49714285714,0.0,,36056.37,36485.11,36416.49714285714,0.0,0.0,0.0,0.0,0.0,0.0,7.0
2020-01-06,gluon,,L2,False,,,Other EVMs,,,,False,True,False,2579.64,2705.72,2648.575714285714,0.0,,2579.64,2705.72,2648.575714285714,0.0,0.0,0.0,0.0,0.0,0.0,8.0
2020-01-06,layer2,,,False,,,Other EVMs,,,,False,False,False,26149.31,33162.24,30905.995714285713,0.0,,26149.31,33162.24,30905.995714285713,0.0,0.0,0.0,0.0,0.0,0.0,8.0
2020-01-06,loopring,,L2,False,,,Other EVMs,,,Loopring,False,False,True,23504.86,30456.52,28257.420000000002,0.0,,23504.86,30456.52,28257.420000000002,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2020-01-06,mantle,5000,L2,False,5000.0,legacy ovm,OP Stack fork,mantle network,Mantle,OP Stack,False,False,True,,,,0.0,0.0,,,,,,,,,,8.0
2020-01-06,metis,1088,L2,False,1088.0,legacy ovm,OP Stack fork,metis andromeda,Metis,OVM,False,False,True,,,,0.0,0.0,,,,,,,,,,8.0
2020-01-06,polygonzkevm,1101,L2,False,,,Other EVMs,,,Polygon CDK,False,False,True,,,,0.0,0.0,,,,,,,,,,8.0
2020-01-06,xdai,,,False,,,Other EVMs,,,,False,False,False,36056.37,36485.11,36416.49714285714,0.0,,36056.37,36485.11,36416.49714285714,0.0,0.0,0.0,0.0,0.0,0.0,7.0
2020-01-13,astarzkevm,,L2,False,,,Other EVMs,,,Polygon CDK,False,False,True,,,,0.0,0.0,,,,,,,,,,9.0
2020-01-13,bridge,,,False,,,Other EVMs,,,,False,False,False,36548.54,37083.75,36836.87857142857,0.0,,36548.54,37083.75,36836.87857142857,0.0,0.0,0.0,0.0,0.0,0.0,8.0
2020-01-13,gluon,,L2,False,,,Other EVMs,,,,False,True,False,265125.26,268441.67,266799.10714285716,0.0,,265125.26,268441.67,266799.10714285716,0.0,0.0,0.0,0.0,0.0,0.0,9.0
2020-01-13,layer2,,,False,,,Other EVMs,,,,False,False,False,274980.01,278896.44,279839.2485714286,0.0,,274980.01,278896.44,279839.2485714286,0.0,0.0,0.0,0.0,0.0,0.0,9.0
2020-01-13,loopring,,L2,False,,,Other EVMs,,,Loopring,False,False,True,9854.75,10454.77,13040.141428571429,0.0,,9854.75,10454.77,13040.141428571429,0.0,0.0,0.0,0.0,0.0,0.0,6.0
2020-01-13,mantle,5000,L2,False,5000.0,legacy ovm,OP Stack fork,mantle network,Mantle,OP Stack,False,False,True,,,,0.0,0.0,,,,,,,,,,9.0
2020-01-13,metis,1088,L2,False,1088.0,legacy ovm,OP Stack fork,metis andromeda,Metis,OVM,False,False,True,,,,0.0,0.0,,,,,,,,,,9.0
2020-01-13,polygonzkevm,1101,L2,False,,,Other EVMs,,,Polygon CDK,False,False,True,,,,0.0,0.0,,,,,,,,,,9.0
2020-01-13,xdai,,,False,,,Other EVMs,,,,False,False,False,36548.54,37083.75,36836.87857142857,0.0,,36548.54,37083.75,36836.87857142857,0.0,0.0,0.0,0.0,0.0,0.0,8.0
2020-01-20,astarzkevm,,L2,False,,,Other EVMs,,,Polygon CDK,False,False,True,,,,0.0,0.0,,,,,,,,,,10.0
2020-01-20,bridge,,,False,,,Other EVMs,,,,False,False,False,36783.49,37124.93,36932.13285714285,0.0,,36783.49,37124.93,36932.13285714285,0.0,0.0,0.0,0.0,0.0,0.0,9.0
2020-01-20,gluon,,L2,False,,,Other EVMs,,,,False,True,False,266073.25,277739.36,276088.69,0.0,,266073.25,277739.36,276088.69,0.0,0.0,0.0,0.0,0.0,0.0,10.0
2020-01-20,layer2,,,False,,,Other EVMs,,,,False,False,False,276190.11,289102.78,287033.0842857143,0.0,,276190.11,289102.78,287033.0842857143,0.0,0.0,0.0,0.0,0.0,0.0,10.0
2020-01-20,loopring,,L2,False,,,Other EVMs,,,Loopring,False,False,True,10116.86,11363.42,10944.394285714285,0.0,,10116.86,11363.42,10944.394285714285,0.0,0.0,0.0,0.0,0.0,0.0,7.0
2020-01-20,mantle,5000,L2,False,5000.0,legacy ovm,OP Stack fork,mantle network,Mantle,OP Stack,False,False,True,,,,0.0,0.0,,,,,,,,,,10.0
2020-01-20,metis,1088,L2,False,1088.0,legacy ovm,OP Stack fork,metis andromeda,Metis,OVM,False,False,True,,,,0.0,0.0,,,,,,,,,,10.0
2020-01-20,polygonzkevm,1101,L2,False,,,Other EVMs,,,Polygon CDK,False,False,True,,,,0.0,0.0,,,,,,,,,,10.0
2020-01-20,xdai,,,False,,,Other EVMs,,,,False,False,False,36783.49,37124.93,36932.13285714285,0.0,,36783.49,37124.93,36932.13285714285,0.0,0.0,0.0,0.0,0.0,0.0,9.0
2020-01-27,astarzkevm,,L2,False,,,Other EVMs,,,Polygon CDK,False,False,True,,,,0.0,0.0,,,,,,,,,,11.0
2020-01-27,bridge,,,False,,,Other EVMs,,,,False,False,False,37018.27,38796.28,37888.39,0.0,,37018.27,38796.28,37888.39,0.0,0.0,0.0,0.0,0.0,0.0,10.0
2020-01-27,gluon,,L2,False,,,Other EVMs,,,,False,True,False,274373.61,279750.08,277186.67,0.0,,274373.61,279750.08,277186.67,0.0,0.0,0.0,0.0,0.0,0.0,11.0
2020-01-27,layer2,,,False,,,Other EVMs,,,,False,False,False,285344.26,291180.38,288265.3257142857,0.0,,285344.26,291180.38,288265.3257142857,0.0,0.0,0.0,0.0,0.0,0.0,11.0
2020-01-27,loopring,,L2,False,,,Other EVMs,,,Loopring,False,False,True,10588.85,11430.3,11078.655714285715,0.0,,10588.85,11430.3,11078.655714285715,0.0,0.0,0.0,0.0,0.0,0.0,8.0
2020-01-27,mantle,5000,L2,False,5000.0,legacy ovm,OP Stack fork,mantle network,Mantle,OP Stack,False,False,True,,,,0.0,0.0,,,,,,,,,,11.0
2020-01-27,metis,1088,L2,False,1088.0,legacy ovm,OP Stack fork,metis andromeda,Metis,OVM,False,False,True,,,,0.0,0.0,,,,,,,,,,11.0
2020-01-27,polygonzkevm,1101,L2,False,,,Other EVMs,,,Polygon CDK,False,False,True,,,,0.0,0.0,,,,,,,,,,11.0
2020-01-27,xdai,,,False,,,Other EVMs,,,,False,False,False,37018.27,38796.28,37888.39,0.0,,37018.27,38796.28,37888.39,0.0,0.0,0.0,0.0,0.0,0.0,10.0
2020-02-03,astarzkevm,,L2,False,,,Other EVMs,,,Polygon CDK,False,False,True,,,,0.0,0.0,,,,,,,,,,12.0
2020-02-03,bridge,,,False,,,Other EVMs,,,,False,False,False,37873.5,38170.77,38192.392857142855,0.0,,37873.5,38170.77,38192.392857142855,0.0,0.0,0.0,0.0,0.0,0.0,11.0
2020-02-03,gluon,,L2,False,,,Other EVMs,,,,False,True,False,279533.87,288095.54,283857.3857142857,0.0,,279533.87,288095.54,283857.3857142857,0.0,0.0,0.0,0.0,0.0,0.0,12.0
2020-02-03,layer2,,,False,,,Other EVMs,,,,False,False,False,290686.25,301287.94,296311.41000000003,0.0,,290686.25,301287.94,296311.41000000003,0.0,0.0,0.0,0.0,0.0,0.0,12.0
2020-02-03,loopring,,L2,False,,,Other EVMs,,,Loopring,False,False,True,11152.38,13192.4,12454.024285714286,0.0,,11152.38,13192.4,12454.024285714286,0.0,0.0,0.0,0.0,0.0,0.0,9.0
2020-02-03,mantle,5000,L2,False,5000.0,legacy ovm,OP Stack fork,mantle network,Mantle,OP Stack,False,False,True,,,,0.0,0.0,,,,,,,,,,12.0
2020-02-03,metis,1088,L2,False,1088.0,legacy ovm,OP Stack fork,metis andromeda,Metis,OVM,False,False,True,,,,0.0,0.0,,,,,,,,,,12.0
2020-02-03,polygonzkevm,1101,L2,False,,,Other EVMs,,,Polygon CDK,False,False,True,,,,0.0,0.0,,,,,,,,,,12.0
2020-02-03,xdai,,,False,,,Other EVMs,,,,False,False,False,37873.5,38170.77,38192.392857142855,0.0,,37873.5,38170.77,38192.392857142855,0.0,0.0,0.0,0.0,0.0,0.0,11.0
2020-02-10,astarzkevm,,L2,False,,,Other EVMs,,,Polygon CDK,False,False,True,,,,0.0,0.0,,,,,,,,,,13.0
2020-02-10,bridge,,,False,,,Other EVMs,,,,False,False,False,37889.73,38723.36,38314.11,0.0,,37889.73,38723.36,38314.11,0.0,0.0,0.0,0.0,0.0,0.0,12.0
2020-02-10,gluon,,L2,False,,,Other EVMs,,,,False,True,False,288720.54,307766.24,298745.4371428572,0.0,,288720.54,307766.24,298745.4371428572,0.0,0.0,0.0,0.0,0.0,0.0,13.0
2020-02-10,layer2,,,False,,,Other EVMs,,,,False,False,False,301984.69,324773.96,314002.13,0.0,,301984.69,324773.96,314002.13,0.0,0.0,0.0,0.0,0.0,0.0,13.0
2020-02-10,loopring,,L2,False,,,Other EVMs,,,Loopring,False,False,True,13264.15,17007.72,15256.692857142858,0.0,,13264.15,17007.72,15256.692857142858,0.0,0.0,0.0,0.0,0.0,0.0,10.0
2020-02-10,mantle,5000,L2,False,5000.0,legacy ovm,OP Stack fork,mantle network,Mantle,OP Stack,False,False,True,,,,0.0,0.0,,,,,,,,,,13.0
2020-02-10,metis,1088,L2,False,1088.0,legacy ovm,OP Stack fork,metis andromeda,Metis,OVM,False,False,True,,,,0.0,0.0,,,,,,,,,,13.0
2020-02-10,polygonzkevm,1101,L2,False,,,Other EVMs,,,Polygon CDK,False,False,True,,,,0.0,0.0,,,,,,,,,,13.0
2020-02-10,xdai,,,False,,,Other EVMs,,,,False,False,False,37889.73,38723.36,38314.11,0.0,,37889.73,38723.36,38314.11,0.0,0.0,0.0,0.0,0.0,0.0,12.0
2020-02-17,astarzkevm,,L2,False,,,Other EVMs,,,Polygon CDK,False,False,True,,,,0.0,0.0,,,,,,,,,,14.0
2020-02-17,bridge,,,False,,,Other EVMs,,,,False,False,False,37158.56,37380.68,38023.032857142854,0.0,,37158.56,37380.68,38023.032857142854,0.0,0.0,0.0,0.0,0.0,0.0,13.0
2020-02-17,gluon,,L2,False,,,Other EVMs,,,,False,True,False,305203.22,321423.59,320317.39999999997,0.0,,305203.22,321423.59,320317.39999999997,0.0,0.0,0.0,0.0,0.0,0.0,14.0
2020-02-17,layer2,,,False,,,Other EVMs,,,,False,False,False,322294.6,338386.07,338589.2585714286,0.0,,322294.6,338386.07,338589.2585714286,0.0,0.0,0.0,0.0,0.0,0.0,14.0
2020-02-17,loopring,,L2,False,,,Other EVMs,,,Loopring,False,False,True,16962.48,16962.48,18271.858571428573,0.0,,16962.48,16962.48,18271.858571428573,0.0,0.0,0.0,0.0,0.0,0.0,11.0
2020-02-17,mantle,5000,L2,False,5000.0,legacy ovm,OP Stack fork,mantle network,Mantle,OP Stack,False,False,True,,,,0.0,0.0,,,,,,,,,,14.0
2020-02-17,metis,1088,L2,False,1088.0,legacy ovm,OP Stack fork,metis andromeda,Metis,OVM,False,False,True,,,,0.0,0.0,,,,,,,,,,14.0
2020-02-17,polygonzkevm,1101,L2,False,,,Other EVMs,,,Polygon CDK,False,False,True,,,,0.0,0.0,,,,,,,,,,14.0
2020-02-17,xdai,,,False,,,Other EVMs,,,,False,False,False,37158.56,37380.68,38023.032857142854,0.0,,37158.56,37380.68,38023.032857142854,0.0,0.0,0.0,0.0,0.0,0.0,13.0
2020-02-24,astarzkevm,,L2,False,,,Other EVMs,,,Polygon CDK,False,False,True,,,,0.0,0.0,,,,,,,,,,15.0
2020-02-24,bridge,,,False,,,Other EVMs,,,,False,False,False,38743.36,38991.47,38841.78428571428,0.0,,38743.36,38991.47,38841.78428571428,0.0,0.0,0.0,0.0,0.0,0.0,14.0
2020-02-24,gluon,,L2,False,,,Other EVMs,,,,False,True,False,319192.48,327737.97,324200.48714285716,0.0,,319192.48,327737.97,324200.48714285716,0.0,0.0,0.0,0.0,0.0,0.0,15.0
2020-02-24,layer2,,,False,,,Other EVMs,,,,False,False,False,333293.89,350763.62,342578.71571428573,0.0,,333293.89,350763.62,342578.71571428573,0.0,0.0,0.0,0.0,0.0,0.0,15.0
2020-02-24,loopring,,L2,False,,,Other EVMs,,,Loopring,False,False,True,12819.95,23025.65,18378.22857142857,0.0,,12819.95,23025.65,18378.22857142857,0.0,0.0,0.0,0.0,0.0,0.0,12.0
2020-02-24,mantle,5000,L2,False,5000.0,legacy ovm,OP Stack fork,mantle network,Mantle,OP Stack,False,False,True,,,,0.0,0.0,,,,,,,,,,15.0
2020-02-24,metis,1088,L2,False,1088.0,legacy ovm,OP Stack fork,metis andromeda,Metis,OVM,False,False,True,,,,0.0,0.0,,,,,,,,,,15.0
2020-02-24,polygonzkevm,1101,L2,False,,,Other EVMs,,,Polygon CDK,False,False,True,,,,0.0,0.0,,,,,,,,,,15.0
2020-02-24,xdai,,,False,,,Other EVMs,,,,False,False,False,38743.36,38991.47,38841.78428571428,0.0,,38743.36,38991.47,38841.78428571428,0.0,0.0,0.0,0.0,0.0,0.0,14.0
2020-03-02,astarzkevm,,L2,False,,,Other EVMs,,,Polygon CDK,False,False,True,,,,0.0,0.0,,,,,,,,,,16.0
2020-03-02,bridge,,,False,,,Other EVMs,,,,False,False,False,39060.07,39800.36,39279.78571428572,0.0,,39060.07,39800.36,39279.78571428572,0.0,0.0,0.0,0.0,0.0,0.0,15.0
2020-03-02,gluon,,L2,False,,,Other EVMs,,,,False,True,False,302100.49,306983.03,309567.4914285714,0.0,,302100.49,306983.03,309567.4914285714,0.0,0.0,0.0,0.0,0.0,0.0,16.0
2020-03-02,layer2,,,False,,,Other EVMs,,,,False,False,False,322976.89,333502.8,331644.91000000003,0.0,,322976.89,333502.8,331644.91000000003,0.0,0.0,0.0,0.0,0.0,0.0,16.0
2020-03-02,loopring,,L2,False,,,Other EVMs,,,Loopring,False,False,True,18106.09,26519.77,22077.41857142857,0.0,,18106.09,26519.77,22077.41857142857,0.0,0.0,0.0,0.0,0.0,0.0,13.0
2020-03-02,mantle,5000,L2,False,5000.0,legacy ovm,OP Stack fork,mantle network,Mantle,OP Stack,False,False,True,,,,0.0,0.0,,,,,,,,,,16.0
2020-03-02,metis,1088,L2,False,1088.0,legacy ovm,OP Stack fork,metis andromeda,Metis,OVM,False,False,True,,,,0.0,0.0,,,,,,,,,,16.0
2020-03-02,polygonzkevm,1101,L2,False,,,Other EVMs,,,Polygon CDK,False,False,True,,,,0.0,0.0,,,,,,,,,,16.0
2020-03-02,xdai,,,False,,,Other EVMs,,,,False,False,False,39060.07,39800.36,39279.78571428572,0.0,,39060.07,39800.36,39279.78571428572,0.0,0.0,0.0,0.0,0.0,0.0,15.0
2020-03-09,astarzkevm,,L2,False,,,Other EVMs,,,Polygon CDK,False,False,True,,,,0.0,0.0,,,,,,,,,,17.0
2020-03-09,bridge,,,False,,,Other EVMs,,,,False,False,False,39392.59,39667.35,39601.51,0.0,,39392.59,39667.35,39601.51,0.0,0.0,0.0,0.0,0.0,0.0,16.0
2020-03-09,gluon,,L2,False,,,Other EVMs,,,,False,True,False,294684.38,294684.38,307955.1171428571,0.0,,294684.38,294684.38,307955.1171428571,0.0,0.0,0.0,0.0,0.0,0.0,17.0
2020-03-09,layer2,,,False,,,Other EVMs,,,,False,False,False,337915.98,344876.23,348149.04714285716,0.0,,337915.98,344876.23,348149.04714285716,0.0,0.0,0.0,0.0,0.0,0.0,17.0
2020-03-09,loopring,,L2,False,,,Other EVMs,,,Loopring,False,False,True,28660.99,50191.85,40193.93,0.0,,28660.99,50191.85,40193.93,0.0,0.0,0.0,0.0,0.0,0.0,14.0
2020-03-09,mantle,5000,L2,False,5000.0,legacy ovm,OP Stack fork,mantle network,Mantle,OP Stack,False,False,True,,,,0.0,0.0,,,,,,,,,,17.0
2020-03-09,metis,1088,L2,False,1088.0,legacy ovm,OP Stack fork,metis andromeda,Metis,OVM,False,False,True,,,,0.0,0.0,,,,,,,,,,17.0
2020-03-09,polygonzkevm,1101,L2,False,,,Other EVMs,,,Polygon CDK,False,False,True,,,,0.0,0.0,,,,,,,,,,17.0
2020-03-09,xdai,,,False,,,Other EVMs,,,,False,False,False,39392.59,39667.35,39601.51,0.0,,39392.59,39667.35,39601.51,0.0,0.0,0.0,0.0,0.0,0.0,16.0
2020-03-16,astarzkevm,,L2,False,,,Other EVMs,,,Polygon CDK,False,False,True,,,,0.0,0.0,,,,,,,,,,18.0
2020-03-16,bridge,,,False,,,Other EVMs,,,,False,False,False,39628.5,42022.77,41215.15857142857,0.0,,39628.5,42022.77,41215.15857142857,0.0,0.0,0.0,0.0,0.0,0.0,17.0
2020-03-16,gluon,,L2,False,,,Other EVMs,,,,False,True,False,264774.32,268094.38,279756.71,0.0,,264774.32,268094.38,279756.71,0.0,0.0,0.0,0.0,0.0,0.0,18.0
